,Genotype,20AARs,Probabilities,Type,Counts,Frequency,Progression,CIH,CIL
0,"[0, 0]",0,0.168959240395917,"(0, 0)",43,0.0327868852459016,0.00397696734373979,0.00272478116817442,0.00524181552323259
1,"[1, 1]",2,0.000998841216006317,"(1, 1)",12,0.00867888138862102,0.19174945882228,0.0735622662377735,0.287541333545548
2,"[2, 2]",4,0.0014288437202464,"(2, 2)",2,0.00289296046287367,0.0415278262208731,0,0.0930124803069296
3,"[3, 3]",6,0.00187003127078985,"(3, 3)",6,0.00192864030858245,0.0301983463535602,0,0.0733948531205486
4,"[0, 1]",1,0.0259817977155208,"(0, 1)",111,0.123432979749277,0.0917228295055294,0.0754265610093396,0.115968824671738
5,"[1, 2]",3,0.0023892994781014,"(1, 2)",9,0.0077145612343298,0.059498789998517,0.023783193928984,0.100163961988967
6,"[1, 3]",4,0.00273339664775208,"(1, 3)",1,0.00675024108003857,0.0129165654025726,0,0.0370806955758325
7,"[0, 2]",2,0.0310751572557441,"(0, 2)",184,0.193828351012536,0.217216198315661,0.0998299694756924,0.13762207572152
8,"[2, 3]",5,0.00326923993486711,"(2, 3)",5,0.00578592092574735,0.03424390719598,0.0121620246943497,0.0635687615493334
9,"[0, 3]",3,0.0355504747101506,"(0, 3)",104,0.0906460945033751,0.0504541577536083,0.0406402715651488,0.0635419559297738
10,[0],0,0.323436260186469,"(0,)",62,0.0588235294117647,0.00399840939960694,0.00301231110983399,0.00508747043407027
11,[1],1,0.0248682920991414,"(1,)",84,0.0694310511089682,0.068734856832616,0.0536621638049708,0.0848516988363378
12,[2],2,0.0297433648019265,"(2,)",154,0.155255544840887,0.100033777645937,0.0817291888350922,0.119935425897466
13,[3],3,0.0340268829368584,"(3,)",26,0.0202507232401157,0.0162936993297175,0.0110132106660382,0.0228886122022773
14,"[0, x2]",0,0.246197750291193,"(0, 0.5)",54,0.0540019286403086,0.00389470665389689,0.00289599070530072,0.00520853218284994
15,"[1, x2]",2,0.0189295954784509,"(1, 0.5)",134,0.128254580520733,0.135132290817145,0.111245684570463,0.165162221915774
16,"[2, x2]",4,0.0226404717148993,"(2, 0.5)",38,0.029893924783028,0.0285173242636769,0.0200240358692913,0.0370074107007571
17,"[3, x2]",6,0.0259010601459669,"(3, 0.5)",8,0.00964320154291225,0.00988988814508182,0.00554136641447365,0.0149792782041337
