,Genotype,20AARs,Probabilities,Type
0,"[0, 0]",0,0.6117445211190895,"(0, 0)"
1,"[1, 1]",2,0.007916686132541137,"(1, 1)"
2,"[2, 2]",4,0.0016514119738400175,"(2, 2)"
3,"[3, 3]",6,0.007787300843288972,"(3, 3)"
4,"[0, 1]",1,0.13918317954410317,"(0, 1)"
5,"[1, 2]",3,0.007231517205237544,"(1, 2)"
6,"[1, 3]",4,0.01570345396350646,"(1, 3)"
7,"[0, 2]",2,0.06356861575045006,"(0, 2)"
8,"[2, 3]",5,0.007172180102730794,"(2, 3)"
9,"[0, 3]",3,0.13804113336521248,"(0, 3)"
10,[0],0,0.0,"(0,)"
11,[1],1,0.0,"(1,)"
12,[2],2,0.0,"(2,)"
13,[3],3,0.0,"(3,)"
14,"[0, x2]",0,0.0,"(0, 0.5)"
15,"[1, x2]",2,0.0,"(1, 0.5)"
16,"[2, x2]",4,0.0,"(2, 0.5)"
17,"[3, x2]",6,0.0,"(3, 0.5)"
