,Wnt regulator,Total,"[Prox, Dist]",Corrected_Delta,CLowc,CHighc,Uncorrected_Deltas,CLowu,CHighu,Corrected_Delta_Alternative,CLow,CHigh
0,AMER1,[51],"[29, 13]",0.8321264679920031,0.20295362814438173,1.2979489193283293,1.384621365070906,0.6499815552233694,1.9068593944296548,0.9669070210507164,0.14536907530526727,1.599884517764269
1,TCF7L2,[105],"[30, 66]",-0.3421138648608882,-0.6256669276384234,-0.07019722276107913,-0.6894332408275593,-0.9316928841464144,-0.4677513678439733,-0.41189230368329194,-0.7412505698803112,-0.0874523631321963
2,SOX9,[103],"[39, 40]",0.5798012980614373,0.0012754571522205493,1.1491246781171167,0.6042923313448413,-0.0057945352825639895,1.1930270953916804,0.6232319046720872,-0.10184238912638857,1.324945678243838
3,FBXW7,[106],"[25, 55]",0.04577325834595543,-0.29734452329105826,0.38099796048651313,0.3286792770669937,-0.20307114419787284,0.9086971652032191,-0.03675750781214114,-0.4031814021914193,0.3497026405238933
4,BCL9,[27],"[3, 13]",-0.59036284754398,-1.0292943852688399,-0.22974184973620446,-0.7839236572105633,-1.118172378307954,-0.41817677676095205,-0.6647159509762837,-1.0252429060130432,-0.27913529616625377
5,BCL9L,[31],"[9, 20]",-0.3345161976234407,-0.7892990733284496,0.15778969148354716,-0.26492792849006774,-0.7942912496895314,0.24827721922233806,-0.38785572669741125,-0.8749070132149688,0.06652780032390924
6,AXIN2,[16],"[6, 5]",-0.918208499706226,-1.3404061693479117,-0.524470268106387,0.03350622922584189,-0.7031741728877895,0.6776610745016531,-0.9480278259658829,-1.3633181111487964,-0.560781392051428
7,AXIN1,[1],"[1, 5]",-0.67254058334754,-1.5240601196809664,-0.061286911149540726,,,,-0.3784093608403431,-0.8645978110110131,0.09614039821221493
8,JUN,[9],"[2, 4]",,,,0.29784612913533115,-0.8664574598844638,1.1541164918971434,,,
