,Unnamed: 0,Genotype,20AARs,Probabilities,Type,Counts,Frequency,Progression,Progression Probability,CIH,CIL
0,0,"[0, 0]",0,0.1733033750323532,"(0, 0)",74,0.07108549471661864,0.0059217922761251205,0.006430613948213267,0.004778717030681862,0.008283710643779717
1,1,"[1, 1]",2,0.0009393869044232,"(1, 1)",21,0.020172910662824207,0.3100296736680806,0.3333446020369426,0.2356152106840512,0.4239993205657419
2,2,"[2, 2]",4,0.0012416847649258,"(2, 2)",2,0.0019212295869356388,0.022338145386016008,0.03247248426339481,0.0,0.07075603629238862
3,3,"[3, 3]",6,0.0014229717913711,"(3, 3)",2,0.0019212295869356388,0.019492259067052757,0.03770504842312055,0.008716535203919155,0.07895457465789392
4,4,"[0, 1]",1,0.0255185360863621,"(0, 1)",255,0.24495677233429394,0.13858393660796559,0.12849462836270165,0.10658230659517952,0.15367970403854284
5,5,"[1, 2]",3,0.0021600207476718,"(1, 2)",21,0.020172910662824207,0.1348310268502313,0.09289524152572329,0.052010095659501494,0.14067791886434955
6,6,"[1, 3]",4,0.0023123330782374,"(1, 3)",5,0.004803073967339097,0.029988040070395485,0.023873460226937492,0.005362376973156256,0.04740618047207343
7,7,"[0, 2]",2,0.0293385862295989,"(0, 2)",434,0.4169068203650336,0.20515354097305272,0.1983372503400086,0.1683193168640967,0.23465475677752112
8,8,"[2, 3]",5,0.0026584825703884,"(2, 3)",7,0.0067243035542747355,0.03651679830069925,0.05102300909214905,0.022684652055893546,0.08547435723866767
9,9,"[0, 3]",3,0.0314073758229147,"(0, 3)",220,0.21133525456292027,0.09714478680038131,0.09542366178080877,0.07804305810784351,0.11415523015919671
